variable,min,max,p01,p99
tmax,-31.127236766138125,48.323194776757006,-8.74306684920914,37.60311858528739
tmin,-42.42763777346702,32.35899641883125,-19.811037210495023,24.42159847758732
tmean,-35.139922761272835,39.06665542953597,-13.767020526370748,30.35000920303916
gdd10,0.0,29.06665542953596,0.0,20.350009203039143
prcp,0.0,283.4547556981163,0.0,36.35837184881316
srad,16.627781073610905,817.2692108605047,73.22802139910284,552.8210843975088
vp,14.403489052682026,4890.6137449182415,115.20120116061929,3007.7997342918998
vpd,0.00010256674142885238,6.068859052355593,0.05115091085261932,2.815314951025414
swe,0.0,556.2218536829644,0.0,106.01993995470477
dayl,28931.723993288524,57468.26946125035,30989.19674945368,55411.0393193779
